Optymalny wynik,Optymalna scieżka,Otrzymany wynik,Otrzymana scieżka,Czas wykonania,Blad bezwzgledny,Blad wzgledny (liczbowo),Blad wzgledny (procentowo)
22264,,2147483647,116600.000000,2147461383.000000,96454.427911,9645442.791053%
22264,,2147483647,116400.000000,2147461383.000000,96454.427911,9645442.791053%
22264,,2147483647,116600.000000,2147461383.000000,96454.427911,9645442.791053%
22264,,2147483647,118900.000000,2147461383.000000,96454.427911,9645442.791053%
22264,,2147483647,119100.000000,2147461383.000000,96454.427911,9645442.791053%
22264,,2147483647,124200.000000,2147461383.000000,96454.427911,9645442.791053%
22264,,2147483647,119900.000000,2147461383.000000,96454.427911,9645442.791053%
22264,,2147483647,118900.000000,2147461383.000000,96454.427911,9645442.791053%
\Dane\SYM60\GRAF9_60.txt, nearest-neighbour,false
28513,,34161,1-2-4-3-7-8-9-6-5-1,170600.000000,5648.000000,0.198085,19.808508%
28513,,34161,1-2-4-3-7-8-9-6-5-1,168800.000000,5648.000000,0.198085,19.808508%
28513,,34161,1-2-4-3-7-8-9-6-5-1,168800.000000,5648.000000,0.198085,19.808508%
28513,,34161,1-2-4-3-7-8-9-6-5-1,168700.000000,5648.000000,0.198085,19.808508%
28513,,34161,1-2-4-3-7-8-9-6-5-1,168400.000000,5648.000000,0.198085,19.808508%
28513,,34161,1-2-4-3-7-8-9-6-5-1,168100.000000,5648.000000,0.198085,19.808508%
28513,,34161,1-2-4-3-7-8-9-6-5-1,170700.000000,5648.000000,0.198085,19.808508%
28513,,34161,1-2-4-3-7-8-9-6-5-1,171100.000000,5648.000000,0.198085,19.808508%
28513,,34161,1-2-4-3-7-8-9-6-5-1,171800.000000,5648.000000,0.198085,19.808508%
28513,,34161,1-2-4-3-7-8-9-6-5-1,171100.000000,5648.000000,0.198085,19.808508%
\Dane\SYM60\GRAF10_60.txt, nearest-neighbour,false
39212,,39705,2-8-7-5-4-6-3-1-9-10-2,241700.000000,493.000000,0.012573,1.257268%
39212,,39705,2-8-7-5-4-6-3-1-9-10-2,239500.000000,493.000000,0.012573,1.257268%
39212,,39705,2-8-7-5-4-6-3-1-9-10-2,238600.000000,493.000000,0.012573,1.257268%
39212,,39705,2-8-7-5-4-6-3-1-9-10-2,238200.000000,493.000000,0.012573,1.257268%
39212,,39705,2-8-7-5-4-6-3-1-9-10-2,238600.000000,493.000000,0.012573,1.257268%
39212,,39705,2-8-7-5-4-6-3-1-9-10-2,237700.000000,493.000000,0.012573,1.257268%
39212,,39705,2-8-7-5-4-6-3-1-9-10-2,237400.000000,493.000000,0.012573,1.257268%
39212,,39705,2-8-7-5-4-6-3-1-9-10-2,238800.000000,493.000000,0.012573,1.257268%
39212,,39705,2-8-7-5-4-6-3-1-9-10-2,237600.000000,493.000000,0.012573,1.257268%
39212,,39705,2-8-7-5-4-6-3-1-9-10-2,237800.000000,493.000000,0.012573,1.257268%
\Dane\SYM60\GRAF11_60.txt, nearest-neighbour,false
32101,,33758,1-8-3-11-5-6-4-9-7-10-2-1,389900.000000,1657.000000,0.051618,5.161833%
32101,,33758,1-8-3-11-5-6-4-9-7-10-2-1,385800.000000,1657.000000,0.051618,5.161833%
32101,,33758,1-8-3-11-5-6-4-9-7-10-2-1,383400.000000,1657.000000,0.051618,5.161833%
32101,,33758,1-8-3-11-5-6-4-9-7-10-2-1,384600.000000,1657.000000,0.051618,5.161833%
32101,,33758,1-8-3-11-5-6-4-9-7-10-2-1,386700.000000,1657.000000,0.051618,5.161833%
32101,,33758,1-8-3-11-5-6-4-9-7-10-2-1,387700.000000,1657.000000,0.051618,5.161833%
32101,,33758,1-8-3-11-5-6-4-9-7-10-2-1,383100.000000,1657.000000,0.051618,5.161833%
32101,,33758,1-8-3-11-5-6-4-9-7-10-2-1,385500.000000,1657.000000,0.051618,5.161833%
32101,,33758,1-8-3-11-5-6-4-9-7-10-2-1,382500.000000,1657.000000,0.051618,5.161833%
32101,,33758,1-8-3-11-5-6-4-9-7-10-2-1,386000.000000,1657.000000,0.051618,5.161833%
\Dane\SYM60\GRAF12_60.txt, nearest-neighbour,false
26906,,-2147457194,1-9-6-3-4-7-5-2-10-11-12-12-1,714400.000000,2147483196.000000,79814.286628,7981428.662752%
26906,,-2147457194,1-9-6-3-4-7-5-2-10-11-12-12-1,707700.000000,2147483196.000000,79814.286628,7981428.662752%
26906,,-2147457194,1-9-6-3-4-7-5-2-10-11-12-12-1,706100.000000,2147483196.000000,79814.286628,7981428.662752%
26906,,-2147457194,1-9-6-3-4-7-5-2-10-11-12-12-1,706300.000000,2147483196.000000,79814.286628,7981428.662752%
26906,,-2147457194,1-9-6-3-4-7-5-2-10-11-12-12-1,707000.000000,2147483196.000000,79814.286628,7981428.662752%
26906,,-2147457194,1-9-6-3-4-7-5-2-10-11-12-12-1,706800.000000,2147483196.000000,79814.286628,7981428.662752%
26906,,-2147457194,1-9-6-3-4-7-5-2-10-11-12-12-1,704200.000000,2147483196.000000,79814.286628,7981428.662752%
26906,,-2147457194,1-9-6-3-4-7-5-2-10-11-12-12-1,706200.000000,2147483196.000000,79814.286628,7981428.662752%
26906,,-2147457194,1-9-6-3-4-7-5-2-10-11-12-12-1,705200.000000,2147483196.000000,79814.286628,7981428.662752%
26906,,-2147457194,1-9-6-3-4-7-5-2-10-11-12-12-1,704800.000000,2147483196.000000,79814.286628,7981428.662752%
