Optymalny wynik,Otrzymany wynik,Czas wykonania,Blad wzgledny (procentowo)
\Dane\TSP\rat99.txt
49135,1081776,0.016422,2101.640379%
49135,1098420,0.016188,2135.514399%
49135,1051220,0.016169,2039.452529%
\Dane\ATSP\ftv33.txt
 1286,4218,0.003555,227.993779%
1286,4190,0.003495,225.816485%
1286,4216,0.003496,227.838258%
1286,4392,0.003493,241.524106%
\Dane\ATSP\ftv64.txt
 1839,8152,0.005171,343.284394%
1839,9314,0.005234,406.470908%
1839,8499,0.005256,362.153344%
1839,8388,0.005155,356.117455%
\Dane\ATSP\kro100p.txt
 36230,205961,0.007195,468.481921%
36230,207813,0.007166,473.593707%
36230,187271,0.007121,416.894839%
36230,178771,0.007109,393.433619%
\Dane\ATSP\ftv170.txt
 2755,26289,0.010990,854.228675%
2755,25695,0.010928,832.667877%
2755,26387,0.010921,857.785844%
2755,24502,0.010959,789.364791%
\Dane\ATSP\ftv170.txt
 2755,3340,0.502373,21.234120%
2755,3359,0.503242,21.923775%
2755,3298,0.504475,19.709619%
2755,3312,0.504629,20.217786%
