Optymalny wynik,Otrzymany wynik,Czas wykonania,Blad wzgledny (procentowo)
1286,1489,0.500011,15.785381%
1286,1504,0.500001,16.951788%
//Dane//ATSP//ftv64.txt
 1839,2179,0.500067,18.488309%
1839,2184,0.500005,18.760196%
1839,2179,0.500059,18.488309%
1839,2179,0.500011,18.488309%
//Dane//ATSP//kro100p.txt
 36230,42354,0.500094,16.903119%
36230,42354,0.500094,16.903119%
36230,42354,0.500145,16.903119%
36230,42354,0.500032,16.903119%
\Dane\ATSP\ftv170.txt
 2755,3587,0.500887,30.199637%
2755,3587,0.500947,30.199637%
2755,3587,0.500991,30.199637%
2755,3587,0.500841,30.199637%
