Optymalny wynik,Otrzymany wynik,Czas wykonania,Blad wzgledny (procentowo)
\Dane\TSP\rat99.txt
49135,1160353,0.016802,2261.561005%
49135,1126177,0.016886,2192.005699%
49135,1040751,0.016810,2018.145924%
\Dane\ATSP\ftv33.txt
 1286,4521,0.003691,251.555210%
1286,4607,0.003633,258.242613%
1286,4141,0.003707,222.006221%
1286,4126,0.003702,220.839813%
\Dane\ATSP\ftv64.txt
 1839,8986,0.005371,388.635128%
1839,8890,0.005541,383.414899%
1839,9463,0.005357,414.573138%
1839,8623,0.005364,368.896139%
\Dane\ATSP\kro100p.txt
 36230,192939,0.007398,432.539332%
36230,185278,0.007393,411.393872%
36230,181771,0.007455,401.714049%
36230,200245,0.007405,452.704941%
\Dane\ATSP\ftv170.txt
 2755,26415,0.011552,858.802178%
2755,28252,0.011463,925.480944%
2755,25406,0.011382,822.177858%
2755,26446,0.011447,859.927405%
